file,mtu,zerocopy,P,gbps,retrans
iperf_mtu1500_Z_P10_20251006-155105.json,1500,Z,10,0.000,0
iperf_mtu1500_Z_P1_20251006-143450.json,1500,Z,1,103.484,0
iperf_mtu1500_Z_P1_20251006-155105.json,1500,Z,1,0.000,0
iperf_mtu1500_Z_P2_20251006-155105.json,1500,Z,2,0.000,0
iperf_mtu1500_Z_P4_20251006-143505.json,1500,Z,4,331.655,3
iperf_mtu1500_Z_P4_20251006-155105.json,1500,Z,4,0.000,0
iperf_mtu1500_Z_P6_20251006-155105.json,1500,Z,6,0.000,0
iperf_mtu1500_Z_P8_20251006-143520.json,1500,Z,8,289.647,1769
iperf_mtu1500_Z_P8_20251006-155105.json,1500,Z,8,0.000,0
iperf_mtu1500_noZ_P10_20251006-155105.json,1500,noZ,10,0.000,0
iperf_mtu1500_noZ_P1_20251006-143535.json,1500,noZ,1,120.245,0
iperf_mtu1500_noZ_P1_20251006-155105.json,1500,noZ,1,0.000,0
iperf_mtu1500_noZ_P2_20251006-155105.json,1500,noZ,2,0.000,0
iperf_mtu1500_noZ_P4_20251006-143550.json,1500,noZ,4,189.350,76
iperf_mtu1500_noZ_P4_20251006-155105.json,1500,noZ,4,0.000,0
iperf_mtu1500_noZ_P6_20251006-155105.json,1500,noZ,6,0.000,0
iperf_mtu1500_noZ_P8_20251006-143605.json,1500,noZ,8,185.143,771
iperf_mtu1500_noZ_P8_20251006-155105.json,1500,noZ,8,0.000,0
iperf_mtu9000_Z_P10_20251006-143129.json,9000,Z,10,264.417,2305
iperf_mtu9000_Z_P10_20251006-155105.json,9000,Z,10,0.000,0
iperf_mtu9000_Z_P1_20251006-142706.json,9000,Z,1,147.978,0
iperf_mtu9000_Z_P1_20251006-145121.json,9000,Z,1,144.195,2
iperf_mtu9000_Z_P1_20251006-155105.json,9000,Z,1,0.000,0
iperf_mtu9000_Z_P2_20251006-142721.json,9000,Z,2,129.754,0
iperf_mtu9000_Z_P2_20251006-155105.json,9000,Z,2,0.000,0
iperf_mtu9000_Z_P4_20251006-142736.json,9000,Z,4,333.157,4
iperf_mtu9000_Z_P4_20251006-145136.json,9000,Z,4,266.645,50
iperf_mtu9000_Z_P4_20251006-155105.json,9000,Z,4,0.000,0
iperf_mtu9000_Z_P4_20251006-161112.json,9000,Z,4,0.000,0
iperf_mtu9000_Z_P4_long_20251006-145424.json,9000,Z,4,326.879,21
iperf_mtu9000_Z_P6_20251006-143059.json,9000,Z,6,326.002,963
iperf_mtu9000_Z_P6_20251006-155105.json,9000,Z,6,0.000,0
iperf_mtu9000_Z_P8_20251006-143114.json,9000,Z,8,277.472,1638
iperf_mtu9000_Z_P8_20251006-145151.json,9000,Z,8,284.552,1786
iperf_mtu9000_Z_P8_20251006-155105.json,9000,Z,8,0.000,0
iperf_mtu9000_noZ_P10_20251006-143259.json,9000,noZ,10,169.998,1418
iperf_mtu9000_noZ_P10_20251006-155106.json,9000,noZ,10,0.000,0
iperf_mtu9000_noZ_P1_20251006-143144.json,9000,noZ,1,103.600,0
iperf_mtu9000_noZ_P1_20251006-145206.json,9000,noZ,1,143.353,0
iperf_mtu9000_noZ_P1_20251006-155105.json,9000,noZ,1,0.000,0
iperf_mtu9000_noZ_P2_20251006-143159.json,9000,noZ,2,118.510,0
iperf_mtu9000_noZ_P2_20251006-155106.json,9000,noZ,2,0.000,0
iperf_mtu9000_noZ_P4_20251006-143214.json,9000,noZ,4,188.783,79
iperf_mtu9000_noZ_P4_20251006-145221.json,9000,noZ,4,196.678,129
iperf_mtu9000_noZ_P4_20251006-155106.json,9000,noZ,4,0.000,0
iperf_mtu9000_noZ_P6_20251006-143229.json,9000,noZ,6,173.654,489
iperf_mtu9000_noZ_P6_20251006-155106.json,9000,noZ,6,0.000,0
iperf_mtu9000_noZ_P8_20251006-143244.json,9000,noZ,8,166.975,947
iperf_mtu9000_noZ_P8_20251006-145236.json,9000,noZ,8,176.168,1278
iperf_mtu9000_noZ_P8_20251006-155106.json,9000,noZ,8,0.000,0
